,tv,radio,social_media,sales
119,29270.4,4331.27,4529.67,94479.8
120,41334.81,17997.47,4214.41,163837.62
121,45324.11,19201.73,3020.83,189924.06
122,19310.16,17518.3,4868.51,78782.32
123,9952.34,16571.29,2671.04,42239.03
124,15257.08,13794.36,4936.44,71969.19
125,24219.85,11915.43,3671.68,99584.16
126,41810.66,3565.76,3538.69,130241.3
127,43732.88,9352.16,1663.82,160591.4
128,5312.85,8708.39,4527.71,17878.93
129,27983.63,6675.57,2709.96,102248.41
130,23783.5,15021.56,1648.93,88648.7
131,14994.85,10925.76,1050.43,79092.18
132,10393.94,3458.83,3239.02,57914.73
133,20192.68,5963.3,3109.6,63411.22
134,47430.94,14298.66,3877.41,160183.94
135,19544.13,3370.36,4561.03,74564.32
136,28345.58,17321.72,1317.63,107806.83
137,36635.85,10912.64,3925.99,127785.39
138,21363.33,10650.56,1749.65,81194.54
139,48730.19,12663.34,4432.71,148205.2
140,48310.13,16844.26,4276.25,172196.53
141,16330.2,8260.57,3163.18,56065.77
142,27376.18,14204.29,3840.97,100424.23
143,18539.52,12183.18,2257.4,89458.35
144,17817.82,6806.51,2884.67,52540.49
145,6659.91,17815.34,4286.55,56978.07
146,32430.4,16353.67,2837.06,120450.61
147,27620.56,13852.13,2431.19,102057.87
148,7316.54,17310.47,2976.85,57307.47
149,17539.09,17611.3,4313.0,84591.23
150,45871.96,14750.53,2340.83,166618.22
151,15780.29,17066.24,1695.05,83469.6
152,11520.27,14554.49,3848.06,55003.49
153,27025.37,14242.53,4303.91,98469.49
154,49354.27,13135.0,1402.55,157615.08
155,15892.49,15548.9,1959.5,63726.46
156,35246.1,4854.89,1567.89,143295.52
157,39272.88,17855.67,2391.77,158244.83
158,15693.69,17693.18,2801.4,61510.8
159,37769.74,2526.45,3995.31,105871.97
160,21550.24,16864.7,3604.59,96568.73
161,33453.76,4319.66,3483.71,114055.27
162,33508.84,8032.14,2409.5,119268.32
163,29109.86,15383.15,4365.79,110037.64
164,9063.04,4893.68,2885.15,34717.67
165,42588.61,16723.41,4916.42,158587.95
166,19435.1,16978.42,3536.57,86400.15
167,13393.33,11134.42,1505.06,35441.15
168,6834.88,2114.95,3704.71,23231.42
169,31590.18,7166.69,2300.42,98156.72
170,35490.4,13104.68,3745.31,129752.99
171,5746.45,19661.35,1278.56,77223.25
172,28044.19,13372.64,1699.53,108716.11
173,15192.31,6676.46,4422.95,54667.8
174,34032.78,13412.1,1908.72,132388.87
175,12846.49,11719.74,4348.16,63120.04
176,36092.2,16037.22,2117.1,137591.92
177,22403.09,3925.65,3571.53,80952.02
178,47152.85,15698.5,3776.6,187460.04
179,11188.44,11742.8,3050.62,41395.95
180,20347.99,19333.86,2221.24,95891.7
181,10106.31,8153.7,1850.58,34210.96
182,46611.21,13387.19,1132.76,166035.92
183,44480.27,18776.51,2215.79,153526.6
184,16607.37,3845.18,3612.65,53222.54
185,34699.28,18870.11,4753.22,131828.72
186,41775.0,14381.94,4484.82,158898.49
187,29984.04,3221.07,4064.26,106000.4
188,28834.28,7417.34,4153.79,87248.57
189,15883.35,14747.1,3659.94,72150.01
190,9189.62,3212.31,2041.15,26312.1
191,45374.71,12479.07,4628.78,144572.08
192,45518.81,8225.9,3682.93,148566.57
193,33489.57,13176.48,3241.76,118769.48
194,20256.34,2823.36,1443.96,89993.2
195,20714.43,17687.66,2788.22,94398.49
196,37668.01,19522.8,2841.43,129932.77
197,45369.96,19439.8,4458.25,161850.96
198,44918.89,15493.73,3186.59,169804.39
199,40094.4,4341.55,2521.6,148940.75
200,33891.42,15648.74,4907.2,111741.14
201,8786.3,2442.56,1442.88,11944.94
202,12273.29,2398.22,2690.19,60471.95
203,45434.94,7824.98,1168.1,152522.48
204,32289.31,10795.58,3959.62,106358.18
205,5413.87,15867.33,4672.31,47725.05
206,9566.22,14299.32,2120.15,24850.24
207,34857.58,10026.25,4433.37,121862.56
208,5227.77,6925.28,2168.87,30433.88
209,12236.36,19948.24,4643.08,78195.68
210,29693.02,9671.26,4015.85,95454.92
211,36135.28,10124.97,4219.63,126559.98
212,34338.26,4945.23,1072.03,101714.39
213,15092.12,16306.57,4851.24,74715.67
214,37048.06,14486.28,3906.68,125873.48
215,15676.21,5973.85,2219.0,53017.9
216,19642.99,3482.86,4317.58,56353.9
217,38592.11,14248.99,2126.08,144724.22
218,34233.48,13781.2,4491.02,134202.26
219,43215.05,6918.67,1450.32,138402.11
220,34592.58,19115.54,3814.74,134740.8
221,30573.89,4719.04,3162.79,85895.71
222,9215.36,9782.03,1386.14,40015.43
223,21547.21,18985.09,1967.58,93601.01
224,16934.11,9555.09,1049.62,91867.71
225,15979.53,13493.47,2875.07,58496.66
226,48785.47,9156.7,2205.06,175835.76
227,22689.4,6935.87,3393.43,90137.31
228,45142.09,19711.6,2188.95,168894.51
229,33401.24,9368.01,2199.68,132941.78
230,40766.51,18093.79,3972.77,155147.65
231,27618.67,6139.18,1192.57,96552.66
232,30960.67,5835.88,4611.58,103410.41
233,27163.3,2560.41,4409.06,99770.73
234,13785.93,13730.0,3671.22,74753.09
235,37510.35,8633.47,3372.89,120910.93
236,17634.76,17558.45,4569.21,68334.09
237,6094.22,10517.78,1741.32,32900.18
238,34046.25,19427.48,1315.88,123937.52
239,12969.98,5339.46,1958.04,47262.9
240,47320.64,17635.22,4178.31,182878.29
241,47926.79,15978.74,1138.68,163744.8
242,46168.9,15876.59,3331.23,163558.97
243,21657.14,17206.1,4981.75,93851.67
244,5695.55,15698.43,4422.78,51329.99
245,46774.34,13271.97,3085.78,139304.97
246,24268.29,4362.41,1254.56,73908.76
247,48499.47,2585.47,4325.49,153652.2
248,48362.9,18575.26,3395.91,186650.33
249,43385.43,13099.71,1459.73,145616.7
250,18250.2,16337.67,1375.43,61179.29
251,22329.4,10667.4,4638.51,91505.67
252,43301.15,4111.55,3676.8,131555.55
253,19261.49,4253.34,4317.15,54426.39
254,12627.17,14340.18,4515.92,55406.29
255,30056.06,9745.51,3287.09,104584.74
256,47126.96,5609.45,3069.79,145282.5
257,36321.34,10848.7,2721.71,104542.26
258,30652.75,3155.76,2267.79,106796.45
259,9372.94,12475.49,2738.38,60950.0
260,32675.33,6841.88,4095.52,116851.79
261,49552.42,16356.06,3407.69,163518.34
262,11303.78,7586.52,4570.09,45561.25
263,28324.83,10193.96,2773.52,101586.98
264,44481.79,2209.17,3428.36,144461.25
265,38334.59,3304.04,3525.23,128405.85
266,36365.71,9064.88,3366.79,117036.11
267,36611.78,10638.9,3810.54,128518.92
268,21177.1,12800.37,1949.73,88279.52
269,18211.63,7249.93,3049.46,81592.74
270,41421.25,14509.67,1416.9,153781.77
271,41455.1,17482.2,2538.05,159748.19
272,44018.25,16037.32,2950.67,158424.33
273,46095.82,2713.14,3608.9,158266.21
274,28010.41,10649.13,4802.12,106503.61
275,27568.23,3888.74,3402.6,81628.22
276,40923.28,6356.81,3974.38,148325.94
277,34248.38,19759.93,3025.06,140876.6
278,36588.51,4564.92,3536.42,113950.68
279,40810.67,10979.99,1283.73,134748.93
280,45050.24,13126.8,2017.57,158815.46
281,20209.78,14644.37,2447.41,88451.45
282,21901.23,12073.68,2889.97,87232.12
283,9229.19,2175.88,1182.59,34655.77
284,31022.61,7876.3,1560.1,122661.9
285,6617.4,11318.81,2107.26,48599.48
286,25951.91,3581.6,4886.13,87577.55
287,29419.01,8311.28,2325.39,111299.75
288,17894.36,2597.66,2928.16,48718.41
289,31587.5,3414.41,1784.39,104755.58
290,6372.51,9144.62,3443.12,52649.08
291,6680.67,4388.88,2122.73,25506.24
292,42017.03,12215.74,1827.97,136812.35
293,21208.58,14410.37,3066.29,80253.55
294,10717.72,16410.56,1022.02,46383.68
295,28500.95,5602.7,1030.66,86574.61
296,39649.71,5014.69,1876.28,123704.22
297,14711.95,3882.22,1146.89,36476.95
298,33030.07,13455.74,1432.1,120146.05
299,8840.64,14716.56,2355.44,58797.25
300,7325.68,2568.55,4210.34,18857.47
301,28910.96,18851.82,3288.19,131847.54
302,29328.58,2935.48,3050.67,99022.22
303,33684.35,11743.33,2173.96,130060.83
304,37674.11,14763.09,4727.01,130952.12
305,48913.34,17677.44,2588.06,183095.46
306,28233.52,14853.56,1348.37,96735.75
307,19533.04,16431.11,3468.27,93882.4
308,40783.38,8110.1,1455.35,136961.36
309,17187.45,16666.85,2380.89,83285.58
310,24753.71,3442.07,3029.65,69183.11
311,8530.54,18106.7,4496.89,46049.42
312,6140.78,11856.66,2974.19,43666.71
313,48319.18,16711.36,3809.04,162445.62
314,42619.11,10141.73,4971.27,150187.62
315,36318.84,13584.4,1525.96,116424.72
316,23402.88,11475.25,2098.93,96952.72
317,12798.24,15168.61,2578.3,50111.55
318,12039.67,3469.34,2687.31,48189.67
319,16260.93,3086.34,2644.08,60990.65
320,29715.2,6447.86,4630.44,94164.89
321,37156.82,4871.8,3856.13,126526.49
322,34708.88,17692.1,3431.62,134985.02
323,17597.03,5945.85,2237.49,57440.19
324,47968.94,19565.57,4295.16,165317.21
325,38205.36,8064.12,4820.24,109496.12
326,29945.93,5278.12,4284.79,103393.87
327,32527.43,16214.57,1006.26,106759.25
328,23882.0,13856.74,3545.61,95157.36
329,16147.89,10967.52,1204.54,62862.74
330,21018.77,11996.54,2030.43,88857.76
331,39103.07,14945.63,1238.1,137326.25
332,5647.71,6112.19,3415.18,24524.53
333,10223.27,19934.01,3746.36,69762.71
334,7070.12,19546.28,1457.95,54609.34
335,6832.8,13705.86,2535.36,45486.43
336,43495.73,5591.76,2824.95,144979.98
337,36664.6,14244.11,2476.21,117242.35
338,26337.82,3299.57,1484.1,92272.75
339,9402.54,2551.75,2675.79,39497.83
340,27122.71,6638.29,4004.71,83161.09
341,26306.23,10327.21,1284.03,92610.72
342,12794.08,17628.91,1320.72,65092.89
343,24523.32,15089.04,2419.09,96068.1
344,22932.71,15368.72,4766.9,97573.26
345,32713.25,9658.88,3674.29,128778.88
346,33579.21,8226.83,3714.68,125752.88
347,7038.68,8678.7,2447.68,22235.74
348,21857.57,19777.69,3374.64,103147.26
349,33163.7,2721.97,1040.52,117383.65
350,27641.13,17606.57,3544.38,114973.52
351,43542.04,12416.16,4653.15,162486.74
352,34641.21,9895.08,3450.29,140614.1
353,12332.05,15054.64,4494.79,72062.6
354,8175.59,10760.04,3895.89,45107.86
355,33908.87,17721.62,1482.23,139501.04
356,6193.01,18212.63,4609.81,49651.76
357,31359.9,9590.98,1265.78,109338.09
358,47310.36,6982.9,3135.87,150459.22
359,30896.34,12662.31,1568.55,128100.89
360,22467.65,18422.54,1046.83,87375.89
361,33947.97,5791.92,2688.14,127199.54
362,25621.38,13213.4,2180.16,102772.96
363,29552.76,13368.08,2944.0,96189.34
364,47365.92,15196.03,3308.8,170222.7
365,22374.62,4368.22,1174.96,53263.4
366,48253.58,14884.85,1492.01,174089.1
367,45740.78,18362.59,3234.57,175235.82
368,13810.6,5234.3,2372.67,44546.03
369,8121.26,6275.78,3916.69,36971.27
370,9535.01,19485.11,3609.17,79178.85
371,5819.98,5257.59,4382.42,22480.07
372,9249.93,17378.93,3769.97,45114.09
373,35735.3,10861.0,2719.72,139673.89
374,8203.49,6450.16,3691.87,55757.52
375,19353.9,17673.5,2101.52,85659.67
376,43019.39,10015.49,2225.25,155308.66
377,6047.24,11266.71,4155.94,50534.51
378,41651.08,8466.2,2785.68,131620.54
379,17683.46,12673.12,4193.52,69303.76
380,10317.42,4943.43,4289.69,52821.0
381,36353.17,9039.47,4430.25,141683.98
382,33302.43,19449.42,4666.54,137043.5
383,44486.24,6646.4,2723.94,135992.15
384,38078.2,13821.26,2275.47,155974.84
385,41156.64,7853.42,3328.79,131604.74
386,17691.56,15922.52,2484.69,74849.43
387,12984.78,4355.73,3404.3,50613.46
388,38777.66,19456.78,3822.34,162970.92
389,41307.56,10168.21,3753.62,149591.56
390,49572.73,6248.91,2498.21,163489.32
391,23567.8,3322.94,1667.44,81154.42
392,21740.81,5055.64,2722.12,74602.1
393,39938.58,11355.93,1570.38,143216.22
394,20336.16,8066.06,4560.39,50092.16
395,46884.08,16919.9,2383.51,164257.77
396,43628.57,9755.98,1617.84,148741.82
397,24304.73,6476.86,1101.79,71670.23
398,38789.2,13108.61,3583.29,141685.39
399,38954.43,14721.99,3547.61,138675.37
400,9640.57,5006.75,2362.42,55167.8
401,45614.88,5017.15,1286.85,160743.99
402,27736.36,2660.09,2638.52,83860.42
403,42190.59,15255.24,2244.87,149068.69
404,19402.23,13948.48,3708.48,80244.17
405,45298.55,10543.36,3423.12,148905.66
406,22514.08,17195.07,2458.37,96514.28
407,5487.69,16502.06,1871.57,34569.12
408,45742.19,12536.38,4952.14,147201.06
409,9107.9,17628.88,2816.01,61402.14
410,19369.11,5705.14,3753.1,74836.89
411,47752.79,4014.55,1562.21,142018.14
412,47777.32,6855.49,2942.36,164039.93
413,30804.7,3027.56,1110.15,91194.74
414,33432.67,11561.05,3021.82,121682.15
415,25180.05,18858.9,4856.07,114459.98
416,18194.48,2708.18,2536.83,59578.0
417,19789.9,4197.98,1155.98,70792.07
418,35263.33,10139.58,1123.82,116396.97
419,38856.85,18809.75,2551.95,144096.48
420,40621.06,7690.81,1640.1,132160.85
421,40532.82,11130.23,1093.41,131374.73
422,9104.27,2748.31,4024.85,31679.96
423,27248.91,4670.18,2834.09,74682.86
424,7590.14,19759.34,2156.98,48576.38
425,29728.8,19372.14,4600.33,117696.02
426,24868.87,2088.92,1464.56,75910.47
427,44946.69,19132.61,4823.68,163535.85
428,20791.18,13504.16,2255.87,83140.07
429,10268.02,17622.53,4553.61,64309.08
430,11434.63,10185.32,3411.77,60032.93
431,39267.98,11280.73,4306.83,130380.8
432,32819.81,10799.24,4936.05,105094.31
433,9550.52,14003.56,2153.62,40313.27
434,8784.81,4513.72,4844.54,30675.25
435,36543.61,2539.52,2557.93,111199.86
436,8274.34,7542.74,2542.05,29708.19
437,41983.7,14684.25,2361.55,136197.08
438,36780.9,5633.36,3165.63,115814.35
439,8660.7,14121.78,1616.58,49787.33
440,8817.7,19458.42,3214.85,63198.45
441,49398.78,3690.21,3166.82,149740.83
442,21842.19,14106.84,4047.61,84580.66
443,21678.9,9987.5,4334.6,72918.27
444,41575.98,17626.56,2761.77,152234.27
445,47626.19,5188.7,2209.33,143282.0
446,49370.05,14467.27,2037.34,176561.0
447,38902.02,17086.08,1778.5,125365.77
448,21931.68,19003.06,1230.59,91318.63
449,8757.53,14298.46,2369.79,51916.25
450,39971.61,10949.15,2080.99,139217.4
451,30128.19,13121.25,4865.67,139429.62
452,24089.99,17640.29,3230.84,103843.83
453,45785.95,12270.98,2389.11,146918.33
454,10003.89,2546.97,3321.87,34538.42
455,27168.13,18757.08,1556.79,92655.94
456,5510.91,14411.48,2776.17,38732.04
457,26089.73,14177.24,3504.94,92956.96
458,7533.65,5882.15,2955.59,42055.87
459,10346.81,13859.94,2607.12,47638.5
460,10288.68,9089.56,4975.39,45820.42
461,34214.46,13722.19,4521.26,119131.72
462,38572.02,3918.67,3493.62,140729.39
463,31251.59,13841.22,3277.51,112942.93
464,48297.76,19989.45,3482.64,194944.35
465,21869.18,2867.82,1805.25,78953.41
466,17857.04,19589.14,2580.55,89065.77
467,44086.96,9324.34,1157.84,150513.64
468,15061.81,17673.56,2902.18,77084.83
469,48345.01,16082.94,3172.1,151468.76
470,5546.95,12206.29,1911.0,33116.95
471,48644.55,15292.09,4856.12,179751.42
472,6942.2,17813.28,4637.82,49376.46
473,45101.44,9274.53,3888.57,137108.5
474,28746.55,7886.6,3133.55,99112.28
475,49683.42,14016.68,4479.88,189356.28
476,8320.85,16541.23,1522.61,63004.62
477,29923.44,15721.13,4162.04,114812.99
478,48618.61,16360.65,1499.28,180660.94
479,28539.4,9840.5,4176.84,98802.3
480,33322.94,16721.02,2103.07,109063.17
481,36308.69,4163.76,4508.36,108181.23
482,25454.35,11800.8,4776.17,112081.22
483,33240.11,2103.66,1595.18,100933.48
484,31294.14,7842.54,2850.7,104637.74
485,45552.11,8596.31,4923.95,149014.39
486,7045.09,9131.11,2933.63,55340.12
487,17643.34,14518.41,4454.19,93194.32
488,47768.52,8994.05,3354.93,180661.9
489,45061.87,10076.49,2501.32,149960.55
490,25504.55,6275.79,2143.13,89955.14
491,32905.97,8718.53,1812.89,97535.72
492,17482.15,6090.85,4047.19,78375.66
493,13465.45,3317.53,2546.16,34967.93
494,25866.43,12862.07,3045.1,100582.7
495,20900.85,14027.83,2969.3,74255.92
496,31264.53,13150.83,3309.12,109285.73
497,8498.06,10342.89,4462.31,34867.05
498,48847.77,8836.14,4922.96,156180.25
499,49379.48,17540.01,2630.34,170372.4
500,36417.28,11343.47,4310.08,122939.4
501,29124.34,10625.27,4058.11,113673.32
502,18928.74,2461.56,3294.12,51076.99
503,41620.78,8142.46,4824.19,141693.54
504,35812.9,8843.52,1801.9,133784.52
505,12317.76,9178.81,1437.06,46308.06
506,45991.72,12443.1,4415.85,151668.55
507,42014.18,11604.85,2756.6,142522.87
508,47741.0,12942.29,4387.88,176627.63
509,37657.38,15767.9,4572.36,140851.25
510,32603.68,16633.74,1249.83,118074.42
511,23820.94,14926.22,4533.86,100957.85
512,46972.78,19199.43,2793.28,160091.2
513,43972.88,2328.19,3041.73,143745.39
514,7034.84,5524.0,3506.37,35229.78
515,6186.51,2136.13,4705.53,21038.41
516,21940.85,13654.54,1076.46,78456.73
517,41474.9,18164.55,2907.37,144258.4
518,49427.43,6382.68,3750.89,165079.93
519,11768.76,18686.62,3890.83,77571.43
520,31735.88,3084.81,3770.13,95346.84
521,22140.09,18819.85,1537.74,100002.78
522,48646.15,8329.21,2197.58,138660.78
523,42895.35,3825.57,2434.86,129795.66
524,42724.79,10745.69,4217.75,146091.19
525,26091.19,6621.98,2115.04,80167.23
526,23666.88,7127.71,1842.82,73248.55
527,17303.32,7531.22,4829.79,58943.89
528,7536.9,16454.47,1035.45,50732.06
529,43912.51,11704.9,4991.28,149917.23
530,41580.55,7603.54,3707.29,115618.29
531,49987.3,12986.01,4313.88,150390.85
532,49848.66,14890.71,2178.48,166902.63
533,29994.43,6907.23,1057.26,105449.63
534,39604.43,9443.88,3951.48,107479.8
535,47514.46,4193.95,4336.58,146005.29
536,43234.13,5260.69,3961.9,134311.9
537,16130.66,14260.12,1571.4,84451.24
538,25274.49,5265.89,4013.71,81878.94
539,10812.17,11452.94,4075.69,55483.65
540,47932.3,14762.83,3634.16,169170.8
541,32277.86,3923.78,4064.46,83445.82
542,15288.93,12211.62,4383.69,74058.14
543,35226.53,6618.13,3454.42,119487.96
544,32815.77,19332.68,1354.42,133206.23
545,21117.32,10703.82,2950.51,120145.32
546,10110.09,16507.87,1310.6,34906.25
547,35220.79,11904.08,2630.17,142080.54
548,28413.85,2781.43,2628.43,87853.43
549,39754.33,13396.72,1264.04,142863.38
550,28407.36,19125.26,2395.28,114652.49
551,43348.17,12829.01,1443.99,145767.66
552,29835.81,16745.4,4232.94,111043.67
553,30242.21,17915.72,4790.75,123290.67
554,44449.41,6105.44,1289.27,127979.29
555,23156.73,5816.81,4820.46,88111.43
556,11030.69,12997.66,3090.31,49971.77
557,6295.22,9398.51,2198.26,22781.86
558,38981.18,17117.5,1307.45,138773.39
559,32913.93,18200.42,3002.5,140115.16
560,36683.59,8361.58,4178.06,119328.82
561,14583.39,6263.67,3828.35,58644.39
562,11136.72,16049.46,1200.9,50775.24
563,5654.51,6946.51,1291.61,35608.32
564,20776.44,16807.06,2611.49,95700.73
565,31546.3,9627.29,2181.16,128656.5
566,22650.98,14015.9,1929.54,88185.92
567,24686.37,3719.64,2124.02,87387.13
568,45687.14,13229.47,4213.93,159993.27
569,20671.5,10131.82,4716.91,92529.4
570,28129.53,12558.95,2620.41,97348.9
571,40264.39,5024.26,4624.44,138091.83
572,22844.43,15263.73,2285.98,90624.9
573,32993.9,17530.35,2905.75,126088.22
574,43806.37,5901.32,1904.12,142140.67
575,47728.43,3722.86,3561.9,153072.93
576,11618.31,2425.49,4915.92,39788.83
577,46696.44,13555.49,3413.97,164276.67
578,27145.23,12927.69,2431.26,117824.04
579,16621.0,11840.55,3591.27,79273.96
580,25661.11,6175.05,1491.68,95683.29
581,49101.47,9036.31,4554.64,158580.8
582,27167.81,12700.57,3012.34,93168.05
583,19793.82,10941.8,2797.4,86745.87
584,33503.04,19780.14,3343.46,140611.53
585,15806.55,4455.92,3499.14,70579.81
586,8413.85,14512.6,1287.1,41614.19
587,10799.59,9277.74,3730.47,45885.13
588,10762.06,9707.59,1967.73,31436.59
589,11835.62,14916.76,3855.81,55885.19
590,11247.22,14463.85,4290.14,67548.21
591,33839.36,19842.61,4215.83,128724.96
592,13184.6,4311.1,3210.0,54030.25
593,20555.03,3873.97,3080.68,67111.35
594,45355.48,15038.1,1571.5,162649.91
595,26328.27,12410.96,4101.38,88175.03
596,35040.1,6934.89,2085.64,117417.55
597,12754.39,3429.55,2986.78,14989.53
598,13653.01,3541.85,2137.1,45471.39
599,6839.09,18095.44,1535.31,32123.35
600,12602.08,5453.61,3518.23,59805.72
601,17536.57,7820.69,1217.33,72723.48
602,12965.47,6079.82,3994.58,54680.14
603,8991.61,8389.93,2270.35,55904.96
604,10428.61,3249.63,1000.54,27171.38
605,25735.04,11343.08,3044.52,113215.63
606,14285.02,3217.03,1187.41,57596.23
607,21392.14,16406.42,2104.68,87472.84
608,27653.78,6206.82,3827.91,105541.73
609,36067.77,11720.21,1250.76,115346.07
610,6769.05,17841.42,4357.35,41002.81
611,40973.47,13715.79,1015.28,137915.84
612,33255.52,11593.24,1987.3,112860.29
613,8679.16,7838.01,3963.62,29210.73
614,44311.04,7994.03,2265.08,158287.54
615,46439.26,14050.77,1407.57,158509.18
616,7748.51,19894.51,2440.94,57832.81
617,17459.49,13913.11,2081.57,68585.41
618,41279.06,12040.1,4370.85,125876.72
619,38671.69,15151.71,2253.39,142569.9
620,13303.45,10373.7,4155.73,38426.22
621,14420.72,3082.56,4567.49,49483.4
622,21671.24,12121.34,2735.27,70880.21
623,26803.53,19237.26,4639.77,131459.12
624,32821.46,5155.45,2509.27,116565.82
625,21601.11,14420.09,4856.31,89919.16
626,25814.06,5616.81,1357.16,99183.04
627,38636.19,11644.9,3748.08,126786.8
628,6650.74,3740.18,2975.26,32484.91
629,16359.66,10106.68,2550.6,67512.4
630,37100.73,15610.94,3530.85,139124.23
631,45284.31,8256.29,3815.43,162868.62
632,28025.48,13968.41,1017.45,112862.7
633,28945.11,16318.1,1667.81,115033.62
634,9822.74,18689.2,3852.18,42879.24
